,0
"450 Cambridge St,Allston, MA 02134,",0.739239773683863 -1.241528830294846
"4000 Washington St,Roslindale, MA 02131,",0.7381643009261198 -1.2412823697331778
"695 Truman Hwy,Hyde Park, MA 02136,",0.7374700700362 -1.2412352310080756
"4640 Washington St,Roslindale, MA 02131,",0.7378583787421654 -1.2415964993279396
"1672 Blue Hill Ave,Mattapan, MA 02126,",0.737732224598502 -1.240789285421557
"367 Neponset Ave,Boston, MA 02122,",0.738065832067716 -1.2399466038067797
"220 Dorchester Ave,Boston, MA 02127,",0.7389981188862906 -1.240150994079493
"289 Causeway St,Boston, MA 02114,",0.7394691317641908 -1.240175131983048
"152 Dudley St,Roxbury, MA 02119,",0.7387993319931407 -1.2406149313926058
"3080 Washington St,Roxbury, MA 02119,",0.7385683271946638 -1.2408789586931952
"69 Salem St,Boston, MA 02113,",0.7394036758085887 -1.2401349257057346
"5268 Washington St,West Roxbury, MA 02132,",0.7375889348122425 -1.2419338548917223
"1 Harborside Dr,Boston Logan International Airport,Boston, MA 02128,",0.7395155203416932 -1.2393943743061535
"280 Cambridge St,Boston, MA 02114,",0.7393630646148887 -1.2403482442102367
"67 Main St,Charlestown, MA 02129,",0.7395823957786637 -1.2402502622986942
"42 Charles St,Boston, MA 02114,",0.7392966871254415 -1.2403841979928274
"2 Tremont St,Brighton, MA 02135,",0.7391800040109641 -1.2420975292509804
"616 Gallivan Blvd,Boston, MA 02124,",0.7380111797001837 -1.2400449347841727
"76 Guest St,Brighton, MA 02135,",0.7392915296775019 -1.2416831837232338
"16 Derne St,Boston, MA 02114,",0.7393363689313147 -1.2402674284845523
"3722 Washington St,Jamaica Plain, MA 02130,",0.7382982313842653 -1.2411395546764752
"5 Bowdoin St,Dorchester, MA 02124,",0.7382884069259059 -1.2404363379589014
"289 Hanover St,Boston, MA 02113,",0.739411171997726 -1.2401086419198641
"82 Lansdowne St,Boston, MA 02215,",0.7391204437775751 -1.240876417493804
"1002 Tremont St,Roxbury Crossing, MA 02120,",0.7389415719638551 -1.2406363945790821
"100 City Hall Plz,Boston, MA 02108,",0.7393526371452726 -1.240168113141461
"1132 Blue Hill Ave,Boston, MA 02124,",0.7380461377724364 -1.2407440203074065
"435 Faneuil St,Brighton, MA 02135,",0.7391898703572253 -1.2421015496169123
"661 Warren St,Boston, MA 02121,",0.7384692291450646 -1.2406079963268228
"115 Causeway St,Boston, MA 02114,",0.7394346274775435 -1.2402338012258538
"106 Blackstone St,Boston, MA 02109,",0.7393734065633714 -1.2401442518725927
"4590 Washington St,Roslindale, MA 02131,",0.7378841659818636 -1.2415849775368828
"738 Huntington Ave,Boston, MA 02115,",0.7388864300314676 -1.2410000356740645
"484 A Centre St,Jamaica Plain, MA 02130,",0.7386219934511687 -1.2411175827265215
"268 Centre St,Jamaica Plain, MA 02130,",0.7386951175108395 -1.2409187460914881
"1232 Commonwealth Ave,Allston, MA 02134,",0.7391692431834608 -1.2414487458621182
"136 Harvard Ave,Allston, MA 02134,",0.7392079275336666 -1.2414590625033266
"336 Sumner St,Boston, MA 02128,",0.7394713622949749 -1.2397843737074778
"172 South St,Jamaica Plain, MA 02130,",0.7383666945421686 -1.241161192395877
"775 Centre St,Jamaica Plain, MA 02130,",0.7384720557057884 -1.241174033655848
"320 Medford St,Charlestown, MA 02129,",0.7397165478936244 -1.2402596643873747
"140 Dudley St,Boston, MA 02119,",0.7388002823249183 -1.2406239896514235
"1917 Dorchester Ave,Dorchester Center, MA 02124,",0.7380400107940973 -1.2402875006436147
"1200 Blue Hill Ave,Mattapan, MA 02126,",0.7380092929992623 -1.240756598022661
"8 S Huntington Ave,Jamaica Plain, MA 02130,",0.7388528978932135 -1.2411133040518603
"84 Bennington St,East Boston, MA 02128,",0.7396273318982503 -1.2397823220729418
"106 Bunker Hill St,Charlestown, MA 02129,",0.7396502751239321 -1.2401837364562605
"108 L St,Boston, MA 02127,",0.738891345751306 -1.2397723065010298
"15 N Beacon St,Allston, MA 02134,",0.739239284119008 -1.241566547732646
"112 Salem St,Boston, MA 02113,",0.7394246808461366 -1.2401322248087172
"240 Hanover St,Boston, MA 02113,",0.7394025849778063 -1.2401211245146746
"190 Brighton Ave,Allston, MA 02134,",0.7392240046340712 -1.2414976517330882
"445 W Broadway,Boston, MA 02127,",0.7389276529630705 -1.239976873051997
"1286 Blue Hill Ave,Mattapan, MA 02126,",0.7379462202907536 -1.2407773648227656
"1744 Washington St,Boston, MA 02118,",0.7389366719519802 -1.2404981409403792
"1746 Washington St,Boston, MA 02118,",0.7389359502583345 -1.2404981243597515
"628 American Legion Hwy,Roslindale, MA 02131,",0.7380381546364376 -1.2410801087621521
"389 Washington St,Brighton, MA 02135,",0.7391574718103208 -1.2418607159967527
"1114 Boylston St,Boston, MA 02215,",0.7391171424872949 -1.2407095718712953
"352 Hanover St,Boston, MA 02113,",0.7394338769859651 -1.2400899284996243
"7 Ellery St,Boston, MA 02127,",0.7388259578635445 -1.2401802780863478
"197 Humboldt Ave,Dorchester, MA 02121,",0.7385244949958294 -1.2407262563462798
"61 Columbia Rd,Dorchester, MA 02121,",0.7383654422684304 -1.2405964806444183
"45 Province St,Boston, MA 02108,",0.7392966879981061 -1.2402055914691539
"1631 Blue Hill Ave,Boston, MA 02126,",0.7377455178987498 -1.2407997416891055
"479 W Broadway,South Boston, MA 02127,",0.7389180161276055 -1.239961654653584
"45 Transportation Way,Logan Airport,East Boston, MA 02128,",0.7394546725840027 -1.239650975574754
"60 Washington St,Brighton, MA 02135,",0.7390540723967802 -1.2416446049654477
"978 Saratoga St,Boston, MA 02128,",0.7398157576442952 -1.2392892770312292
"200 L St,Boston, MA 02127,",0.7388456259788853 -1.2397724435093755
"789 Adams St,Dorchester, MA 02124,",0.7380053537911405 -1.2401359641766394
"130 Salem St,Boston, MA 02113,",0.7394340436649086 -1.2401295387469984
"898 Morton St,Mattapan, MA 02126,",0.7379631787824307 -1.2406237898112242
"203 Bowdoin St,Dorchester, MA 02122,",0.7383888314257362 -1.2403497958079412
"1312 Commonwealth Ave,Allston, MA 02134,",0.7391436392033343 -1.2415033109631877
"520 Atlantic Ave,Boston, MA 02210,",0.7392379663954228 -1.2400837971579621
"850 Massachusetts Ave,Boston, MA 02118,",0.7388579584753798 -1.2404015954348113
"67 Washington St,Brighton, MA 02135,",0.7390684111492499 -1.2416613051483956
"433 Massachusetts Ave,Boston, MA 02118,",0.7390060435537592 -1.2405907254212099
"224 Tremont St,Boston, MA 02116,",0.739195903087785 -1.2402877807689594
