,0
"8 S Huntington Ave,Jamaica Plain, MA 02130,",5.47
"84 Bennington St,East Boston, MA 02128,",7.46
"106 Bunker Hill St,Charlestown, MA 02129,",7.33
"108 L St,Boston, MA 02127,",2.49
"15 N Beacon St,Allston, MA 02134,",8.26
"112 Salem St,Boston, MA 02113,",4.6
"240 Hanover St,Boston, MA 02113,",4.47
"190 Brighton Ave,Allston, MA 02134,",8.45
"445 W Broadway,Boston, MA 02127,",2.24
"1286 Blue Hill Ave,Mattapan, MA 02126,",5.65
"1744 Washington St,Boston, MA 02118,",3.04
"1746 Washington St,Boston, MA 02118,",3.04
"628 American Legion Hwy,Roslindale, MA 02131,",5.28
"389 Washington St,Brighton, MA 02135,",9.2
"1114 Boylston St,Boston, MA 02215,",7.58
"352 Hanover St,Boston, MA 02113,",4.6
"7 Ellery St,Boston, MA 02127,",1.93
"197 Humboldt Ave,Dorchester, MA 02121,",3.6
"61 Columbia Rd,Dorchester, MA 02121,",3.54
"45 Province St,Boston, MA 02108,",4.97
"1631 Blue Hill Ave,Boston, MA 02126,",5.78
"479 W Broadway,South Boston, MA 02127,",2.17
"45 Transportation Way,Logan Airport,East Boston, MA 02128,",6.4
"60 Washington St,Brighton, MA 02135,",9.57
"978 Saratoga St,Boston, MA 02128,",8.33
"200 L St,Boston, MA 02127,",2.3
"789 Adams St,Dorchester, MA 02124,",3.17
"130 Salem St,Boston, MA 02113,",4.6
"898 Morton St,Mattapan, MA 02126,",4.66
"203 Bowdoin St,Dorchester, MA 02122,",2.61
"1312 Commonwealth Ave,Allston, MA 02134,",8.82
"520 Atlantic Ave,Boston, MA 02210,",3.79
"850 Massachusetts Ave,Boston, MA 02118,",2.42
"67 Washington St,Brighton, MA 02135,",9.07
"433 Massachusetts Ave,Boston, MA 02118,",3.42
"224 Tremont St,Boston, MA 02116,",4.04
"600 Hyde Park Ave,Roslindale, MA 02131,",5.9
"1143 Blue Hill Ave,Dorchester Center, MA 02124,",4.1
"639 Tremont St,Boston, MA 02118,",3.67
"79 Charles St,Boston, MA 02114,",5.84
"449 Ruggles St,Boston, MA 02115,",4.04
"1 Harborside Dr,Boston, MA 02128,",6.46
"Boston, MA 02108,",3.98
"1348 Boylston St,Boston, MA 02115,",7.83
"700 Atlantic Ave,Boston, MA 02111,",3.54
"655 E Broadway,Boston, MA 02127,",2.36
"187 Wolcott Sq,Hyde Park, MA 02136,",10.0
"74 Summer St,Boston, MA 02110,",3.6
"931 Dorchester Ave,Dorchester, MA 02125,",1.43
"1270 River Street,Hyde Park, MA 02136,",9.51
"748 Gallivan Blvd,Dorchester, MA 02122,",2.61
"522 River St,Mattapan, MA 02126,",5.65
"533 Washington St,Brighton, MA 02135,",11.81
"1224 Dorchester Ave,Boston, MA 02125,",2.05
"522 River St,Boston, MA 02126,",5.65
"730 Blue Hill Ave,Dorchester, MA 02121,",3.98
"394 Geneva Ave,Dorchester, MA 02122,",2.55
"682 Huntington Ave,Boston, MA 02115,",4.66
"30 Rowes Wharf,Boston, MA 02110,",4.78
"345 Congress St,Fort Point,Boston, MA 02210,",3.98
"2254 Dorchester Ave,Dorchester Center, MA 02124,",4.16
"82 Water St,Boston, MA 02109,",4.72
"267 Bowdoin St,Boston, MA 02122,",2.49
"513 Tremont St,Boston, MA 02116,",3.29
"1920 Beacon St,Brighton, MA 02135,",9.94
"301 Adams St,Dorchester, MA 02122,",2.36
"111 Brighton Ave,Allston, MA 02134,",8.33
"145 Dartmouth St,Ste 1,Boston, MA 02116,",3.91
"429 Faneuil St,Brighton, MA 02135,",11.62
"950 Hyde Park Ave,Hyde Park, MA 02136,",7.83
"1696 Commonwealth Ave,Boston, MA 02135,",9.88
"239 Meridian St,Boston, MA 02128,",7.89
"851 Harrison Ave,Boston, MA 02118,",2.92
"547 Washington St,Brighton, MA 02135,",11.74
"618 Shawmut Ave,Roxbury, MA 02118,",3.29
"260 W Broadway,Boston, MA 02127,",2.61
"1 Faneuil Hall Mrkt Pl,Boston, MA 02109,",4.41
"4515 Washington St,Roslindale, MA 02131,",7.27
"426 Belgrade Ave,West Roxbury, MA 02132,",8.14
"11 Blue Hill Ave,Roxbury, MA 02119,",2.49
"28 Myrtle St,Boston, MA 02114,",6.09
"735 Morrissey Blvd,Dorchester, MA 02122,",1.74
"264 Hanover St,Boston, MA 02113,",4.47
"580 Dorchester Ave,Boston, MA 02127,",1.8
